,state,latitude,longitude,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/8/20
25,Mississippi,32.9715645,-89.7348497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,6,8,13,14,16,20,22,26,29,35,43,51,60,67,75,81,92,95,97,110,119,125,135,146,153,163,177,186,194,202,214,220,222,231,242,253,273,282,294,301,332,364,385,398,410,418,422,442,450,465,478,495,506,512,539,555,565,580,601,610,620,637,655,678,695,708,719,724,752,766,778,787,795,801,820,830,851,851,864,872,874,878,898,920,920,920,920,920,960,971,993,998,1004,1017,1021,1041,1055,1064,1074,1085,1089,1093,1096,1158
26,Missouri,38.7604815,-92.5617875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,4,8,9,9,9,13,16,16,19,24,32,45,51,64,72,92,107,123,133,145,157,167,185,202,216,229,236,242,263,281,301,317,343,357,374,395,409,424,443,457,472,484,495,524,539,562,583,594,605,622,632,653,665,680,691,698,714,729,740,749,758,765,768,773,780,776,789,794,812,814,815,825,831,833,840,848,850,854,862,865,865,881,887,889,891,895,914,950,963,973,975,980,988,998,1000,1009,1014,1014,1016,1019,1033,1044,1047,1050,1051,1051,1090
27,Montana,47.3752671,-109.6387579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,6,6,5,6,6,6,6,6,6,6,6,6,7,7,7,7,8,10,10,10,12,14,14,14,14,14,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,19,19,19,20,20,20,20,20,21,21,21,21,22,22,22,22,22,22,22,23,23,23,23,23
28,Nebraska,41.7370229,-99.5873816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,4,5,6,6,8,9,10,12,14,15,17,17,17,20,20,21,24,24,28,33,33,38,45,48,48,54,54,54,54,67,70,70,75,75,75,75,88,87,87,87,95,97,100,100,110,120,120,120,120,127,127,136,136,136,136,136,142,152,153,159,159,159,159,159,176,176,176,176,177,178,180,201,204,204,204,209,220,223,228,233,233,233,238,245,246,249,255,256,256,258,263,265,271,273,273,273,272,284
29,Nevada,39.5158825,-116.8537227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,4,4,6,10,10,10,15,15,26,31,38,43,46,46,46,72,72,81,90,102,112,114,126,131,137,142,151,158,158,162,171,194,196,205,206,206,219,230,243,246,255,258,265,270,289,297,294,313,310,312,321,331,333,343,347,350,358,358,377,383,386,387,380,393,393,401,405,405,416,416,416,416,430,429,435,436,437,441,445,448,458,460,461,462,464,466,472,474,478,485,486,488,491,493,494,497,499,499,503,506,510,524,527,529,533,536,548
30,New Hampshire,43.4849133,-71.6553992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,3,3,5,7,9,9,9,13,21,21,22,23,23,25,32,32,37,38,38,42,42,48,51,53,53,60,60,60,60,72,81,84,86,86,92,92,114,121,131,133,133,142,150,151,151,171,172,172,172,190,199,204,208,209,210,214,223,232,238,238,245,245,256,265,273,278,283,286,286,286,301,308,314,317,319,319,325,329,330,336,338,338,338,342,346,356,364,366,366,366,370,372,374,375,378,379,380,382
31,New Jersey,40.0757384,-74.4041622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,5,9,11,16,20,27,44,62,81,108,140,161,198,267,355,536,645,845,916,1002,1228,1500,1705,1926,2176,2342,2435,2794,3143,3505,3823,4051,4343,4477,4734,5126,5396,5654,5885,5909,6014,6407,6734,7187,7493,7694,7822,7859,8193,8495,8745,8892,9044,9184,9263,9452,9626,9847,10041,10151,10251,10327,10466,10623,10718,10855,10939,10994,11003,11045,11184,11253,11373,11475,11539,11564,11609,11717,11806,11882,11939,12009,12047,12136,12209,12272,12317,12442,12479,12528,12612,12651,12682,12714,12735,12751,12786,12835,12884,14666,14706,14737,14764,14778,14819,14862,14888,14944,14969,14990,15008,15281
32,New Mexico,34.5708167,-105.993007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,3,4,5,5,5,5,5,5,6,10,10,15,19,19,26,30,31,34,34,42,47,51,60,66,66,70,77,88,95,100,111,116,120,125,128,136,145,154,160,169,178,188,197,203,208,211,217,224,231,236,236,249,252,257,260,265,273,280,285,291,295,303,310,313,318,321,325,328,333,343,343,353,355,360,367,371,375,382,384,387,387,394,396,400,404,406,407,408,412,414,416,424,426,426,427,519
33,New York,40.7127281,-74.0060152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,10,21,35,60,92,147,195,287,387,514,663,912,1227,1601,2030,2584,3243,3975,4811,5517,6104,6924,7954,9035,10019,10990,11839,12765,13740,14716,15596,16378,17120,18170,19216,19085,19702,20328,20843,21493,22045,22480,22885,23363,23698,24144,24511,24877,25167,25446,25799,26081,26646,26875,27192,27407,27581,27779,27994,28197,28354,28618,28789,28915,29002,29202,29320,29410,29513,29695,29780,29879,29939,30125,30159,30266,30353,30413,30511,30564,30622,30751,30813,30862,30953,31008,31043,31123,31154,31305,31323,31350,31380,31435,31461,31485,31506,31583,31619,31653,31715,31742,31782,31800,31817,31822,31840,31911,31922,31943,32016,32036,32085,32098,32098
34,North Carolina,35.6729639,-79.0392919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,7,7,12,14,21,27,34,38,45,53,66,76,83,89,89,94,112,130,150,177,187,200,218,245,265,281,293,304,323,339,362,381,405,418,429,432,440,469,489,510,527,547,559,568,592,616,632,658,667,675,680,680,713,715,755,758,764,770,778,821,852,895,905,913,922,935,970,977,985,998,1002,1011,1038,1060,1076,1090,1095,1099,1106,1135,1146,1153,1167,1180,1188,1242,1260,1289,1300,1312,1317,1315,1320,1343,1361,1372,1382,1385,1386,1395,1444
35,North Dakota,47.6201461,-100.540737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,3,3,3,3,4,4,5,6,7,7,8,8,9,9,9,9,9,9,13,14,15,15,16,17,19,19,19,19,23,24,25,25,25,31,31,33,35,35,36,38,40,40,42,42,43,44,45,49,51,52,52,53,54,54,56,57,59,60,61,61,65,66,66,71,72,72,72,72,73,74,74,74,74,74,74,74,75,76,76,77,77,78,78,78,78,78,79,79,79,80,80,80,80,80,80,84
36,OTHER,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Ohio,40.2253569,-82.6881395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,6,8,11,15,19,25,29,40,55,65,81,91,102,119,142,167,193,213,231,247,253,274,324,362,407,418,451,471,509,557,610,656,690,711,728,753,799,937,976,1003,1022,1039,1057,1135,1225,1271,1306,1331,1341,1357,1436,1483,1534,1581,1610,1625,1656,1719,1780,1836,1871,1955,1968,1986,2001,2043,2097,2130,2148,2154,2206,2258,2299,2339,2356,2371,2378,2405,2422,2458,2491,2509,2555,2558,2574,2598,2610,2632,2666,2696,2699,2703,2734,2754,2771,2787,2803,2806,2817,2862,2875,2902,2902,2906,2910,2926,2970
38,Oklahoma,34.9550817,-97.2684063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,5,7,8,15,16,16,23,30,34,38,42,46,51,66,77,78,86,92,94,97,106,120,128,133,133,137,140,161,167,176,185,191,192,194,204,211,219,227,235,235,235,244,250,257,263,267,269,271,275,275,281,282,285,285,285,290,296,301,304,308,308,310,315,319,322,326,331,331,331,336,337,340,341,343,344,344,350,352,354,356,355,355,355,359,360,362,363,364,365,365,367,368,371,373,380,381,381,383,385,391,394,394,394,395,404
39,Oregon,43.9792797,-120.737257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,4,5,5,8,10,11,12,13,13,16,18,19,21,22,22,27,27,29,33,44,44,48,52,53,55,58,64,70,72,74,75,78,78,83,86,87,92,92,99,101,103,104,109,109,109,113,115,121,124,127,127,130,130,134,137,137,137,137,138,140,144,145,147,147,148,148,148,148,151,151,153,153,154,157,159,159,161,161,163,164,169,169,171,173,173,176,180,182,183,187,188,189,190,192,192,195,197,202,202,202,204,207,208,209,209,213,215,215,215
40,Pennsylvania,40.9699889,-77.7278831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,6,8,15,18,22,34,41,50,63,74,90,102,136,151,179,247,318,344,417,502,556,588,690,778,840,920,1041,1275,1347,1612,1671,1722,1745,1792,1815,1885,2045,2369,2471,2631,2691,2716,2834,3174,3340,3584,3710,3774,3801,3827,3909,4089,4283,4416,4474,4489,4510,4623,4765,4864,5005,5106,5129,5139,5156,5258,5366,5457,5529,5547,5559,5659,5734,5824,5890,5923,5935,5945,6005,6053,6104,6153,6202,6206,6234,6266,6309,6350,6388,6408,6412,6415,6452,6506,6545,6567,6591,6594,6602,6637,6671,6699,6733,6736,6740,6741,6787
41,Rhode Island,41.7962409,-71.5992372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,8,10,12,14,17,25,27,30,35,43,43,56,63,63,80,80,87,118,137,150,155,171,181,189,202,215,226,233,239,251,266,279,296,320,341,355,370,388,399,418,422,430,444,462,468,479,489,499,506,532,538,556,579,597,608,608,634,655,677,693,711,718,720,732,742,756,772,772,772,799,808,812,823,833,833,833,851,865,876,885,894,894,894,903,906,912,920,927,927,927,946,950,956,959,960,960,960,960,969
42,South Carolina,33.6874388,-80.4363743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,5,5,7,9,13,15,16,18,22,26,31,34,40,44,48,51,51,67,72,80,82,82,97,106,111,116,119,120,123,124,140,150,157,166,174,177,192,231,244,256,267,275,283,296,305,316,320,330,331,346,355,362,371,380,380,385,391,399,407,416,419,425,435,440,446,466,470,483,487,494,500,501,501,501,539,539,546,557,568,575,588,593,599,600,602,607,617,621,639,644,653,659,673,683,693,694,711,716,720,739,766,784,793,813,820,827,846
43,South Dakota,44.6471761,-100.348761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,4,6,6,6,6,6,6,6,6,6,7,7,7,7,7,8,9,9,10,10,11,11,11,13,17,21,21,21,21,24,29,31,31,34,34,34,39,39,43,44,44,44,44,46,46,48,50,50,50,50,50,54,54,59,62,62,62,62,62,64,64,65,65,65,68,69,73,74,75,75,75,77,78,78,81,81,81,81,83,84,87,88,91,91,91,91,93,97,97,97,97,97,97
44,Tennessee,35.7730076,-86.2820081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,3,6,7,8,14,23,24,36,41,50,53,65,72,79,93,97,105,105,108,123,123,135,140,141,147,151,156,156,170,168,176,180,183,187,194,198,203,208,209,218,225,238,237,241,241,242,250,265,272,286,289,294,297,300,304,304,312,314,328,335,337,342,352,355,360,363,363,363,380,387,399,406,415,416,419,433,435,439,464,470,472,480,491,496,506,513,522,524,529,540,554,565,575,582,582,590,602,607,618,631,635,643,650,665
45,Texas,31.8160381,-99.5120986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,4,5,7,9,12,15,21,26,30,37,45,54,66,77,100,116,136,150,160,189,210,238,266,283,305,342,375,414,451,476,490,507,533,556,604,624,638,651,666,719,754,812,840,863,878,901,925,954,985,1025,1066,1094,1117,1146,1172,1235,1280,1318,1343,1350,1388,1426,1460,1470,1478,1528,1533,1546,1581,1611,1619,1652,1675,1683,1716,1744,1776,1812,1833,1841,1848,1867,1905,1930,1956,1971,1984,2001,2047,2087,2127,2156,2181,2189,2205,2234,2268,2315,2352,2386,2400,2414,2453,2501,2540,2598,2618,2639,2675,2715
46,U.S. military,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
47,Utah,39.4225192,-111.7143584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,4,5,5,7,7,8,8,13,13,13,13,17,18,18,13,18,20,20,23,25,27,28,32,32,35,39,41,41,41,41,45,46,46,49,50,50,56,58,61,61,66,67,68,73,75,75,77,78,80,80,88,90,92,93,97,97,98,101,105,106,107,112,113,113,113,117,117,120,121,121,124,127,128,131,139,139,139,143,145,149,152,155,155,158,158,163,163,164,166,167,167,168,172,173,176,181,181,184,190,194
48,Vermont,44.5990718,-72.5002608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,5,7,8,9,10,12,12,12,13,16,17,17,20,22,23,23,23,23,24,25,26,27,28,28,32,34,36,36,36,38,38,41,42,44,44,45,45,45,47,48,49,51,50,50,50,51,51,51,51,51,51,51,51,51,51,52,52,52,52,52,52,52,52,52,52,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,56
49,Virginia,37.1232245,-78.4927721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,3,6,6,9,9,10,10,13,20,15,27,34,41,46,52,52,66,66,66,109,121,130,141,149,154,195,208,231,258,277,300,324,348,371,408,434,446,457,488,518,548,576,612,654,678,706,730,762,805,820,832,843,885,921,948,969,994,1001,1006,1033,1064,1089,1125,1148,1160,1197,1225,1269,1326,1346,1358,1363,1380,1395,1416,1433,1442,1448,1459,1464,1483,1501,1507,1521,1527,1532,1538,1556,1569,1572,1588,1593,1597,1606,1631,1647,1661,1686,1710,1718,1726,1749,1772,1802,1831,1835,1839,1839,1881
50,Washington,47.7511,-120.7401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,7,10,11,13,16,18,19,23,24,31,37,39,40,48,55,67,73,83,94,97,109,116,133,150,157,188,198,205,225,234,271,291,315,336,381,400,426,456,483,495,506,513,530,552,579,603,613,636,643,664,686,711,722,737,749,764,786,801,814,824,830,834,841,862,870,891,905,921,931,945,962,974,983,991,999,1001,1002,1031,1037,1044,1050,1050,1061,1070,1078,1095,1106,1111,1118,1118,1123,1129,1135,1138,1149,1153,1157,1161,1176,1176,1194,1204,1213,1217,1220,1231,1226,1245,1255,1265,1270,1276,1284,1293,1300,1304,1310,1310,1320,1332,1339,1342,1352,1354,1359,1369,1384
51,West Virginia,38.4758406,-80.8408415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,4,4,4,5,5,5,6,8,9,10,12,16,16,18,24,26,27,30,31,31,33,33,37,37,40,45,47,47,47,47,49,50,51,51,53,53,57,57,59,63,63,66,67,67,68,69,71,71,71,71,71,73,73,73,74,74,75,77,77,78,83,83,83,83,83,84,85,87,87,87,87,87,87,87,87,87,88,88,91,91,91,91,92,92,92,92,92,92,92,93,93,94,95
52,Wisconsin,44.4308975,-89.6884637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,4,5,5,7,10,14,17,18,20,25,27,38,51,54,74,78,92,100,111,128,137,144,154,170,182,196,205,211,219,229,243,247,257,262,265,271,280,299,307,315,326,333,338,339,352,361,373,383,397,399,408,417,420,433,444,452,452,458,466,480,486,495,506,509,513,516,538,549,567,587,591,594,606,615,625,632,644,646,645,660,670,681,688,690,691,692,701,711,717,728,742,742,743,748,755,764,764,775,775,775,782,784,791,794,794,794,794,805
53,Wyoming,43.1700264,-107.5685348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,10,10,11,12,12,12,12,12,13,14,15,15,16,16,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21
